circuito,subcircuito,distrito,zona,canton,codigo_canton,provincia,codigo_provincia
ISIDRO AYORA,ISIDRO AYORA 1,TULCÁN,ZONA 1,TULCÁN,401,CARCHI,4
TABIAZO,TABIAZO 1,ESMERALDAS,ZONA 1,ESMERALDAS,801,ESMERALDAS,8
POSA DE MATE,POSA DE MATE 1,BABAHOYO,ZONA 5,BABAHOYO,1201,LOS RÍOS,12
SAUCES,SAUCES 4,MODELO,ZONA 8,GUAYAQUIL,901,GUAYAS,9
BASTIÓN POPULAR SUR,BASTIÓN POPULAR SUR 2,PASCUALES,ZONA 8,GUAYAQUIL,901,GUAYAS,9
MONTE SINAÍ,MONTE SINAÍ 7,NUEVA PROSPERINA,ZONA 8,GUAYAQUIL,901,GUAYAS,9
VENEZUELA,VENEZUELA 2,9 DE OCTUBRE,ZONA 8,GUAYAQUIL,901,GUAYAS,9
SALINAS CENTRO,SALINAS CENTRO 1,LIBERTAD SALINAS,ZONA 5,SALINAS,2403,SANTA ELENA,24
CENTRO,CENTRO 1,CHONE,ZONA 4,CHONE,1303,MANABÍ,13
GUASAGANDA,GUASAGANDA 1,LA MANÁ,ZONA 3,LA MANÁ,502,COTOPAXI,5
EL COLORADO,EL COLORADO 3,SANTO DOMINGO OESTE,ZONA 4,SANTO DOMINGO,2301,STO DGO DE LOS TSÁCHILAS,23
YAUPI,YAUPI 1,CENTRO SUR,ZONA 6,LOGROÑO,1410,MORONA SANTIAGO,14
SOLANDA,SOLANDA 2,ELOY ALFARO - DMQ,ZONA 9,QUITO,1701,PICHINCHA,17
EL PROLETARIADO,EL PROLETARIADO 1,SANTO DOMINGO OESTE,ZONA 4,SANTO DOMINGO,2301,STO DGO DE LOS TSÁCHILAS,23
SABANA,SABANA 1,BABAHOYO,ZONA 5,BABAHOYO,1201,LOS RÍOS,12
GUAMANÍ,GUAMANÍ 2,QUITUMBE,ZONA 9,QUITO,1701,PICHINCHA,17
CAMILO PONCE,CAMILO PONCE 1,RIOBAMBA,ZONA 3,RIOBAMBA,601,CHIMBORAZO,6
OLMEDO,OLMEDO 1,CAYAMBE,ZONA 2,CAYAMBE,1702,PICHINCHA,17
SANTA ROSA,SANTA ROSA 1,LIBERTAD SALINAS,ZONA 5,SALINAS,2403,SANTA ELENA,24
MUISNE,MUISNE 2,ATACAMES,ZONA 1,MUISNE,803,ESMERALDAS,8
SANTA MARTHA,SANTA MARTHA 1,VINCES,ZONA 5,VINCES,1208,LOS RÍOS,12
CHILIBULO,CHILIBULO 3,ELOY ALFARO - DMQ,ZONA 9,QUITO,1701,PICHINCHA,17
HERMANO MIGUEL,HERMANO MIGUEL 1,CUENCA NORTE,ZONA 6,CUENCA,101,AZUAY,1
FAJARDO,FAJARDO 2,RUMIÑAHUI - MEJÍA,ZONA 2,RUMIÑAHUI,1705,PICHINCHA,17
EL PROLETARIADO,EL PROLETARIADO 2,SANTO DOMINGO OESTE,ZONA 4,SANTO DOMINGO,2301,STO DGO DE LOS TSÁCHILAS,23
FERROVIARIA,FERROVIARIA 4,ELOY ALFARO - DMQ,ZONA 9,QUITO,1701,PICHINCHA,17
LA BALSA,LA BALSA 1,CHINCHIPE,ZONA 7,CHINCHIPE,1902,ZAMORA CHINCHIPE,19
PONCIANO,PONCIANO 2,LA DELICIA,ZONA 9,QUITO,1701,PICHINCHA,17
CHAMBO,CHAMBO 1,RIOBAMBA,ZONA 3,CHAMBO,604,CHIMBORAZO,6
COCHAPAMBA,COCHAPAMBA 5,EUGENIO ESPEJO,ZONA 9,QUITO,1701,PICHINCHA,17
CAÑARIBAMBA,CAÑARIBAMBA 1,CUENCA NORTE,ZONA 6,CUENCA,101,AZUAY,1
MURCIÉLAGO,MURCIÉLAGO 1,MANTA,ZONA 4,MANTA,1308,MANABÍ,13
LA ESMERALDA,LA ESMERALDA 1,BABAHOYO,ZONA 5,MONTALVO,1203,LOS RÍOS,12
NAYON,NAYON 1,EUGENIO ESPEJO,ZONA 9,QUITO,1701,PICHINCHA,17
SAN ALFONSO,SAN ALFONSO 1,RIOBAMBA,ZONA 3,RIOBAMBA,601,CHIMBORAZO,6
COLONIA VELASCO IBARRA,COLONIA VELASCO IBARRA 1,SANTO DOMINGO ESTE,ZONA 4,SANTO DOMINGO,2301,STO DGO DE LOS TSÁCHILAS,23
COCA OCCIDENTE,COCA OCCIDENTE 3,ORELLANA LORETO,ZONA 2,FRANCISCO DE ORELLANA,2201,ORELLANA,22
EL FLORÓN,EL FLORÓN 1,PORTOVIEJO,ZONA 4,PORTOVIEJO,1301,MANABÍ,13
SAN JUAN,SAN JUAN 1,MANTA,ZONA 4,MANTA,1308,MANABÍ,13
NUEVO PORTOVIEJO,NUEVO PORTOVIEJO 1,PORTOVIEJO,ZONA 4,PORTOVIEJO,1301,MANABÍ,13
MACHACHI SUR,MACHACHI SUR 1,RUMIÑAHUI - MEJÍA,ZONA 2,MEJÍA,1703,PICHINCHA,17
PUERTO HONDO,PUERTO HONDO 1,CEIBOS,ZONA 8,GUAYAQUIL,901,GUAYAS,9
CONOCOTO NORTE,CONOCOTO NORTE 4,LOS CHILLOS,ZONA 9,QUITO,1701,PICHINCHA,17
ALÓAG,ALÓAG 1,RUMIÑAHUI - MEJÍA,ZONA 2,MEJÍA,1703,PICHINCHA,17
CAÑAR,CAÑAR 1,CAÑAR,ZONA 6,CAÑAR,303,CAÑAR,3
LA ROLDÓS,LA ROLDÓS 4,LA DELICIA,ZONA 9,QUITO,1701,PICHINCHA,17
PANECILLO,PANECILLO 3,MANUELA SÁENZ,ZONA 9,QUITO,1701,PICHINCHA,17
OCHOA LEÓN,OCHOA LEÓN 2,PASAJE,ZONA 7,PASAJE,709,EL ORO,7
LA MERCED,LA MERCED 2,QUEVEDO,ZONA 5,QUEVEDO,1205,LOS RÍOS,12
RURAL,RURAL 2,RUMIÑAHUI - MEJÍA,ZONA 2,RUMIÑAHUI,1705,PICHINCHA,17
UNIÓN LOJANA,UNIÓN LOJANA 1,HUAQUILLAS,ZONA 7,HUAQUILLAS,707,EL ORO,7
PASOCHOA,PASOCHOA 2,RUMIÑAHUI - MEJÍA,ZONA 2,MEJÍA,1703,PICHINCHA,17
CUNCHIBAMBA,CUNCHIBAMBA 1,AMBATO NORTE,ZONA 3,AMBATO,1801,TUNGURAHUA,18
LA ESMERALDA,LA ESMERALDA 2,BABAHOYO,ZONA 5,MONTALVO,1203,LOS RÍOS,12
VIRGEN DEL CARMEN,VIRGEN DEL CARMEN 1,LIBERTAD SALINAS,ZONA 5,LA LIBERTAD,2402,SANTA ELENA,24
CARAPUNGO,CARAPUNGO 2,CALDERÓN,ZONA 9,QUITO,1701,PICHINCHA,17
ATARAZANA,ATARAZANA 6,MODELO,ZONA 8,GUAYAQUIL,901,GUAYAS,9
EL MIRADOR,EL MIRADOR 1,LA DELICIA,ZONA 9,QUITO,1701,PICHINCHA,17
CABUYAL,CABUYAL 1,DAULE,ZONA 5,SANTA LUCÍA,918,GUAYAS,9
CRISTO DEL CONSUELO,CRISTO DEL CONSUELO 1,MACHALA,ZONA 7,MACHALA,701,EL ORO,7
KENNEDY,KENNEDY 2,EUGENIO ESPEJO,ZONA 9,QUITO,1701,PICHINCHA,17
LA BOTA,LA BOTA 1,LA DELICIA,ZONA 9,QUITO,1701,PICHINCHA,17
LA MARISCAL,LA MARISCAL 1,EUGENIO ESPEJO,ZONA 9,QUITO,1701,PICHINCHA,17
LA VALDRAMINA,LA VALDRAMINA 1,QUEVEDO,ZONA 5,QUEVEDO,1205,LOS RÍOS,12
SAN FRANCISCO,SAN FRANCISCO 4,PASCUALES,ZONA 8,GUAYAQUIL,901,GUAYAS,9
QUINTA CHICA,QUINTA CHICA 1,CUENCA NORTE,ZONA 6,CUENCA,101,AZUAY,1
GALO PLAZA,GALO PLAZA 1,QUEVEDO,ZONA 5,QUEVEDO,1205,LOS RÍOS,12
JARAMIJO,JARAMIJO 1,MANTA,ZONA 4,JARAMIJÓ,1321,MANABÍ,13
FLOR DE BASTIÓN,FLOR DE BASTIÓN 1,NUEVA PROSPERINA,ZONA 8,GUAYAQUIL,901,GUAYAS,9
LA VICTORIA,LA VICTORIA 1,HUAQUILLAS,ZONA 7,LAS LAJAS,714,EL ORO,7
SAUCES,SAUCES 3,MODELO,ZONA 8,GUAYAQUIL,901,GUAYAS,9
IÑAQUITO,IÑAQUITO 4,EUGENIO ESPEJO,ZONA 9,QUITO,1701,PICHINCHA,17
RECREO,RECREO 5,DURÁN,ZONA 8,DURÁN,907,GUAYAS,9
TENGUEL,TENGUEL 1,MODELO,ZONA 8,GUAYAQUIL,901,GUAYAS,9
SAN JOSÉ,SAN JOSÉ 1,LATACUNGA,ZONA 3,LATACUNGA,501,COTOPAXI,5
ARGELIA,ARGELIA 2,ELOY ALFARO - DMQ,ZONA 9,QUITO,1701,PICHINCHA,17
EL FLORÓN,EL FLORÓN 2,PORTOVIEJO,ZONA 4,PORTOVIEJO,1301,MANABÍ,13
ITCHIMBIA,ITCHIMBIA 3,MANUELA SÁENZ,ZONA 9,QUITO,1701,PICHINCHA,17
PUERTO AGUAJE,PUERTO AGUAJE 1,LIBERTAD SALINAS,ZONA 5,SALINAS,2403,SANTA ELENA,24
CONSACOLA,CONSACOLA 1,LOJA,ZONA 7,LOJA,1101,LOJA,11
COCA OCCIDENTE,COCA OCCIDENTE 2,ORELLANA LORETO,ZONA 2,FRANCISCO DE ORELLANA,2201,ORELLANA,22
BALAO,BALAO 1,NARANJAL BALAO,ZONA 5,BALAO,903,GUAYAS,9
PATUCA,PATUCA 1,MÉNDEZ,ZONA 6,SANTIAGO,1405,MORONA SANTIAGO,14
ANTEPARA,ANTEPARA 1,9 DE OCTUBRE,ZONA 8,GUAYAQUIL,901,GUAYAS,9
DAMMER,DAMMER 1,EUGENIO ESPEJO,ZONA 9,QUITO,1701,PICHINCHA,17
LA VICTORIA,LA VICTORIA 1,AMBATO NORTE,ZONA 3,AMBATO,1801,TUNGURAHUA,18
9 DE MAYO,9 DE MAYO 2,MACHALA,ZONA 7,MACHALA,701,EL ORO,7
COCA OCCIDENTE,COCA OCCIDENTE 4,ORELLANA LORETO,ZONA 2,FRANCISCO DE ORELLANA,2201,ORELLANA,22
MAGDALENA,MAGDALENA 1,SAN MIGUEL,ZONA 5,CHIMBO,203,BOLÍVAR,2
SAN CRISTÓBAL,SAN CRISTÓBAL 1,GALÁPAGOS,ZONA 5,SAN CRISTÓBAL,2001,GALÁPAGOS,20
MALIMPIA,MALIMPIA 1,QUININDÉ,ZONA 1,QUININDÉ,804,ESMERALDAS,8
GUAYACANES,GUAYACANES 2,MODELO,ZONA 8,GUAYAQUIL,901,GUAYAS,9
MALVINAS SUR,MALVINAS SUR 3,ESTEROS,ZONA 8,GUAYAQUIL,901,GUAYAS,9
ORQUÍDEAS,ORQUÍDEAS 5,PASCUALES,ZONA 8,GUAYAQUIL,901,GUAYAS,9
CARLOS JULIO AROSEMENA,CARLOS JULIO AROSEMENA 1,EMPALME,ZONA 5,EL EMPALME,908,GUAYAS,9
PINTAG,PINTAG 2,LOS CHILLOS,ZONA 9,QUITO,1701,PICHINCHA,17
MAR NEGRO,MAR NEGRO 1,MILAGRO,ZONA 5,MILAGRO,910,GUAYAS,9
CISNE,CISNE 3,PORTETE,ZONA 8,GUAYAQUIL,901,GUAYAS,9
PEDERNALES SUR,PEDERNALES SUR 1,PEDERNALES,ZONA 4,PEDERNALES,1317,MANABÍ,13
CUCHAENTZA,CUCHAENTZA 1,MORONA,ZONA 6,MORONA,1401,MORONA SANTIAGO,14
SANTA MARTHA,SANTA MARTHA 1,ESMERALDAS,ZONA 1,ESMERALDAS,801,ESMERALDAS,8
SAN ANTONIO ALTO,SAN ANTONIO ALTO 1,LA DELICIA,ZONA 9,QUITO,1701,PICHINCHA,17
CEBADAS,CEBADAS 1,COLTA,ZONA 3,GUAMOTE,606,CHIMBORAZO,6
CHILE,CHILE 4,9 DE OCTUBRE,ZONA 8,GUAYAQUIL,901,GUAYAS,9
MIRAFLORES,MIRAFLORES 1,AMBATO NORTE,ZONA 3,AMBATO,1801,TUNGURAHUA,18
MUISNE,MUISNE 3,ATACAMES,ZONA 1,MUISNE,803,ESMERALDAS,8
CHECA,CHECA 1,TUMBACO,ZONA 9,QUITO,1701,PICHINCHA,17
ESTEBAN GODOY,ESTEBAN GODOY 1,LOJA,ZONA 7,LOJA,1101,LOJA,11
COCHAPAMBA,COCHAPAMBA 3,EUGENIO ESPEJO,ZONA 9,QUITO,1701,PICHINCHA,17
PUERTO DEL CARMEN,PUERTO DEL CARMEN 1,PUTUMAYO,ZONA 1,PUTUMAYO,2103,SUCUMBÍOS,21
SAN FRANCISCO,SAN FRANCISCO 5,PASCUALES,ZONA 8,GUAYAQUIL,901,GUAYAS,9
CHIMBACALLE,CHIMBACALLE 4,ELOY ALFARO - DMQ,ZONA 9,QUITO,1701,PICHINCHA,17
CUTUGLAGUA,CUTUGLAGUA 2,RUMIÑAHUI - MEJÍA,ZONA 2,MEJÍA,1703,PICHINCHA,17
TURUBAMBA,TURUBAMBA 6,QUITUMBE,ZONA 9,QUITO,1701,PICHINCHA,17
GIRÓN,GIRÓN 1,GIRÓN,ZONA 6,GIRÓN,102,AZUAY,1
3 DE JULIO,3 DE JULIO 2,SANTO DOMINGO ESTE,ZONA 4,SANTO DOMINGO,2301,STO DGO DE LOS TSÁCHILAS,23
LOS ESTEROS,LOS ESTEROS 1,MANTA,ZONA 4,MANTA,1308,MANABÍ,13
SALINAS,SALINAS 1,PORTETE,ZONA 8,GUAYAQUIL,901,GUAYAS,9
TORATA,TORATA 2,SANTA ROSA,ZONA 7,SANTA ROSA,712,EL ORO,7
HUACHI GRANDE,HUACHI GRANDE 1,AMBATO SUR,ZONA 3,AMBATO,1801,TUNGURAHUA,18
PALMA LOMA,PALMA LOMA 1,GUARANDA,ZONA 5,GUARANDA,201,BOLÍVAR,2
BORBON,BORBON 1,ELOY ALFARO - ESM,ZONA 1,ELOY ALFARO,802,ESMERALDAS,8
LA MERCED,LA MERCED 1,QUEVEDO,ZONA 5,QUEVEDO,1205,LOS RÍOS,12
GARAY,GARAY 3,9 DE OCTUBRE,ZONA 8,GUAYAQUIL,901,GUAYAS,9
SAUCES,SAUCES 7,MODELO,ZONA 8,GUAYAQUIL,901,GUAYAS,9
AEROPUERTO,AEROPUERTO 2,TENA,ZONA 2,TENA,1501,NAPO,15
CONOCOTO SUR,CONOCOTO SUR 2,LOS CHILLOS,ZONA 9,QUITO,1701,PICHINCHA,17
VICHE,VICHE 1,QUININDÉ,ZONA 1,QUININDÉ,804,ESMERALDAS,8
9 DE OCTUBRE,9 DE OCTUBRE 5,9 DE OCTUBRE,ZONA 8,GUAYAQUIL,901,GUAYAS,9
MAGDALENA,MAGDALENA 4,ELOY ALFARO - DMQ,ZONA 9,QUITO,1701,PICHINCHA,17
ORQUÍDEAS,ORQUÍDEAS 2,PASCUALES,ZONA 8,GUAYAQUIL,901,GUAYAS,9
SALINAS,SALINAS 4,PORTETE,ZONA 8,GUAYAQUIL,901,GUAYAS,9
CUTUGLAGUA,CUTUGLAGUA 1,RUMIÑAHUI - MEJÍA,ZONA 2,MEJÍA,1703,PICHINCHA,17
JAIME ROLDÓS,JAIME ROLDÓS 1,NARANJAL BALAO,ZONA 5,NARANJAL,911,GUAYAS,9
TRINITARIA NORTE,TRINITARIA NORTE 2,ESTEROS,ZONA 8,GUAYAQUIL,901,GUAYAS,9
BARREIRO,BARREIRO 1,BABAHOYO,ZONA 5,BABAHOYO,1201,LOS RÍOS,12
GUAYACANES,GUAYACANES 4,MODELO,ZONA 8,GUAYAQUIL,901,GUAYAS,9
FERROVIARIA,FERROVIARIA 6,ELOY ALFARO - DMQ,ZONA 9,QUITO,1701,PICHINCHA,17
QUIROGA,QUIROGA 1,BOLÍVAR JUNÍN,ZONA 4,BOLÍVAR,1302,MANABÍ,13
ARGELIA,ARGELIA 1,ELOY ALFARO - DMQ,ZONA 9,QUITO,1701,PICHINCHA,17
NUEVA PROSPERINA,NUEVA PROSPERINA 3,NUEVA PROSPERINA,ZONA 8,GUAYAQUIL,901,GUAYAS,9
EMPALME SURESTE,EMPALME SURESTE 1,EMPALME,ZONA 5,EL EMPALME,908,GUAYAS,9
HUALTACO,HUALTACO 1,HUAQUILLAS,ZONA 7,HUAQUILLAS,707,EL ORO,7
GENERAL VILLAMIL,GENERAL VILLAMIL 2,PLAYAS,ZONA 5,PLAYAS,921,GUAYAS,9
MONTE SINAÍ,MONTE SINAÍ 2,NUEVA PROSPERINA,ZONA 8,GUAYAQUIL,901,GUAYAS,9
BOCA DE BIGUA,BOCA DE BIGUA 1,PEDERNALES,ZONA 4,JAMA,1320,MANABÍ,13
19 DE NOVIEMBRE,19 DE NOVIEMBRE 1,MACHALA,ZONA 7,MACHALA,701,EL ORO,7
PATATE,PATATE 3,PATATE,ZONA 3,PATATE,1805,TUNGURAHUA,18
PELILEO SUR,PELILEO SUR 1,PATATE,ZONA 3,SAN PEDRO DE PELILEO,1807,TUNGURAHUA,18
TOTORACOCHA,TOTORACOCHA 1,CUENCA NORTE,ZONA 6,CUENCA,101,AZUAY,1
SANTA CECILIA,SANTA CECILIA 1,LAGO AGRIO,ZONA 1,LAGO AGRIO,2101,SUCUMBÍOS,21
CHARAPOTO,CHARAPOTO 2,SUCRE,ZONA 4,SUCRE,1314,MANABÍ,13
SAUCES,SAUCES 8,MODELO,ZONA 8,GUAYAQUIL,901,GUAYAS,9
SAN GABRIEL NORTE,SAN GABRIEL NORTE 1,MONTÚFAR,ZONA 1,MONTÚFAR,405,CARCHI,4
SANTA ANA,SANTA ANA 1,CUENCA SUR,ZONA 6,CUENCA,101,AZUAY,1
VICTORIA,VICTORIA 1,SALITRE,ZONA 5,SALITRE,919,GUAYAS,9
LA FLORIDA,LA FLORIDA 2,CIUDAD BLANCA,ZONA 1,IBARRA,1001,IMBABURA,10
LA LIBERTAD,LA LIBERTAD 1,MANUELA SÁENZ,ZONA 9,QUITO,1701,PICHINCHA,17
SALINAS CENTRO,SALINAS CENTRO 2,LIBERTAD SALINAS,ZONA 5,SALINAS,2403,SANTA ELENA,24
SAN BLAS,SAN BLAS 1,CUENCA NORTE,ZONA 6,CUENCA,101,AZUAY,1
ALEJO LASCANO,ALEJO LASCANO 1,QUEVEDO,ZONA 5,MOCACHE,1212,LOS RÍOS,12
SAN MIGUEL,SAN MIGUEL 2,MILAGRO,ZONA 5,MILAGRO,910,GUAYAS,9
PASOCHOA,PASOCHOA 1,RUMIÑAHUI - MEJÍA,ZONA 2,MEJÍA,1703,PICHINCHA,17
SAN ISIDRO DEL INCA,SAN ISIDRO DEL INCA 1,EUGENIO ESPEJO,ZONA 9,QUITO,1701,PICHINCHA,17
EL CHACO,EL CHACO 1,EL VALLE DE QUIJOS,ZONA 2,EL CHACO,1504,NAPO,15
TARAPOA,TARAPOA 1,PUTUMAYO,ZONA 1,CUYABENO,2107,SUCUMBÍOS,21
NOBOL,NOBOL 2,DAULE,ZONA 5,NOBOL,925,GUAYAS,9
SALINAS,SALINAS 3,PORTETE,ZONA 8,GUAYAQUIL,901,GUAYAS,9
RIO BLANCO,RIO BLANCO 1,MORONA,ZONA 6,MORONA,1401,MORONA SANTIAGO,14
ACHIOTE,ACHIOTE 1,PEDERNALES,ZONA 4,PEDERNALES,1317,MANABÍ,13
SAN MATEO,SAN MATEO 1,ESMERALDAS,ZONA 1,ESMERALDAS,801,ESMERALDAS,8
PALESTINA,PALESTINA 2,BALZAR,ZONA 5,PALESTINA,913,GUAYAS,9
CHONGON,CHONGON 1,CEIBOS,ZONA 8,GUAYAQUIL,901,GUAYAS,9
PUYO SUR,PUYO SUR 3,PASTAZA,ZONA 3,PASTAZA,1601,PASTAZA,16
SAN ISIDRO DEL INCA,SAN ISIDRO DEL INCA 4,EUGENIO ESPEJO,ZONA 9,QUITO,1701,PICHINCHA,17
LASCANO,LASCANO 1,PAJÁN,ZONA 4,PAJÁN,1310,MANABÍ,13
COTACACHI,COTACACHI 2,TIERRA DEL SOL,ZONA 1,COTACACHI,1003,IMBABURA,10
CANGAGUA,CANGAGUA 1,CAYAMBE,ZONA 2,CAYAMBE,1702,PICHINCHA,17
SHUSHUFINDI CENTRO,SHUSHUFINDI CENTRO 2,SHUSHUFINDI,ZONA 1,SHUSHUFINDI,2104,SUCUMBÍOS,21
LOS CEIBOS,LOS CEIBOS 2,CEIBOS,ZONA 8,GUAYAQUIL,901,GUAYAS,9
LA FERROVIARIA,LA FERROVIARIA 1,MACHALA,ZONA 7,MACHALA,701,EL ORO,7
SAUCES,SAUCES 1,MODELO,ZONA 8,GUAYAQUIL,901,GUAYAS,9
SAN ISIDRO DEL INCA,SAN ISIDRO DEL INCA 3,EUGENIO ESPEJO,ZONA 9,QUITO,1701,PICHINCHA,17
SAUCES,SAUCES 5,MODELO,ZONA 8,GUAYAQUIL,901,GUAYAS,9
ARBOLITO,ARBOLITO 1,DURÁN,ZONA 8,DURÁN,907,GUAYAS,9
DIVINO NIÑO,DIVINO NIÑO 1,DURÁN,ZONA 8,DURÁN,907,GUAYAS,9
LOS BANCOS,LOS BANCOS 3,NOROCCIDENTE,ZONA 2,SAN MIGUEL DE LOS BANCOS,1707,PICHINCHA,17
MONTECRISTI,MONTECRISTI 2,MANTA,ZONA 4,MONTECRISTI,1309,MANABÍ,13
EL RETIRO,EL RETIRO 1,MACHALA,ZONA 7,MACHALA,701,EL ORO,7
VALLE HERMOSO,VALLE HERMOSO 1,SANTO DOMINGO OESTE,ZONA 4,SANTO DOMINGO,2301,STO DGO DE LOS TSÁCHILAS,23
CHIMBACALLE,CHIMBACALLE 1,ELOY ALFARO - DMQ,ZONA 9,QUITO,1701,PICHINCHA,17
CAMILO PONCE ENRÍQUEZ,CAMILO PONCE ENRÍQUEZ 1,PONCE ENRÍQUEZ,ZONA 6,CAMILO PONCE ENRÍQUEZ,115,AZUAY,1
AUGUSTO VALENCIA,AUGUSTO VALENCIA 1,VINCES,ZONA 5,VINCES,1208,LOS RÍOS,12
VICTORIA,VICTORIA 1,9 DE OCTUBRE,ZONA 8,GUAYAQUIL,901,GUAYAS,9
LAS KATYAS,LAS KATYAS 2,MACHALA,ZONA 7,MACHALA,701,EL ORO,7
SAN PABLO,SAN PABLO 1,SANTA ELENA,ZONA 5,SANTA ELENA,2401,SANTA ELENA,24
CARANQUIS,CARANQUIS 1,CIUDAD BLANCA,ZONA 1,IBARRA,1001,IMBABURA,10
SANTA ANA,SANTA ANA 1,SALCEDO,ZONA 3,SALCEDO,505,COTOPAXI,5
ESTEBAN GODOY,ESTEBAN GODOY 2,LOJA,ZONA 7,LOJA,1101,LOJA,11
SANGOLQUI,SANGOLQUI 3,RUMIÑAHUI - MEJÍA,ZONA 2,RUMIÑAHUI,1705,PICHINCHA,17
CAYAMBE,CAYAMBE 3,CUENCA SUR,ZONA 6,CUENCA,101,AZUAY,1
PAQUISHA,PAQUISHA 1,PAQUISHA,ZONA 7,PAQUISHA,1909,ZAMORA CHINCHIPE,19
CAYAMBE NORTE,CAYAMBE NORTE 2,CAYAMBE,ZONA 2,CAYAMBE,1702,PICHINCHA,17
SANTA LUCÍA,SANTA LUCÍA 1,DAULE,ZONA 5,SANTA LUCÍA,918,GUAYAS,9
HUAMBOYA,HUAMBOYA 1,SANGAY,ZONA 6,HUAMBOYA,1407,MORONA SANTIAGO,14
LORENZO DE GARAICOA,LORENZO DE GARAICOA 1,JUJAN SIMÓN BOLÍVAR,ZONA 5,SIMÓN BOLÍVAR,922,GUAYAS,9
NUEVO PORTOVIEJO,NUEVO PORTOVIEJO 2,PORTOVIEJO,ZONA 4,PORTOVIEJO,1301,MANABÍ,13
QUININDÉ,QUININDÉ 2,QUININDÉ,ZONA 1,QUININDÉ,804,ESMERALDAS,8
BANANERA NORTE,BANANERA NORTE 1,PASAJE,ZONA 7,PASAJE,709,EL ORO,7
MONTALVO,MONTALVO 1,RÍO VERDE,ZONA 1,RIOVERDE,807,ESMERALDAS,8
LAS PIÑAS,LAS PIÑAS 1,MILAGRO,ZONA 5,MILAGRO,910,GUAYAS,9
CANOA,CANOA 1,SUCRE,ZONA 4,SAN VICENTE,1322,MANABÍ,13
SAN JACINTO DEL BUA,SAN JACINTO DEL BUA 1,SANTO DOMINGO OESTE,ZONA 4,SANTO DOMINGO,2301,STO DGO DE LOS TSÁCHILAS,23
MARISCAL SUCRE,MARISCAL SUCRE 1,MILAGRO,ZONA 5,MILAGRO,910,GUAYAS,9
TRINITARIA SUR,TRINITARIA SUR 2,ESTEROS,ZONA 8,GUAYAQUIL,901,GUAYAS,9
SAQUISILÍ,SAQUISILÍ 1,DANSANTE,ZONA 3,SAQUISILÍ,506,COTOPAXI,5
RECREO,RECREO 6,DURÁN,ZONA 8,DURÁN,907,GUAYAS,9
ARGELIA,ARGELIA 5,ELOY ALFARO - DMQ,ZONA 9,QUITO,1701,PICHINCHA,17
TRONCAL OESTE,TRONCAL OESTE 2,LA TRONCAL,ZONA 6,LA TRONCAL,304,CAÑAR,3
LAS KATYAS,LAS KATYAS 1,MACHALA,ZONA 7,MACHALA,701,EL ORO,7
UNIVERSITARIO,UNIVERSITARIO 3,EUGENIO ESPEJO,ZONA 9,QUITO,1701,PICHINCHA,17
BATALLÓN DEL SUBURBIO,BATALLÓN DEL SUBURBIO 3,PORTETE,ZONA 8,GUAYAQUIL,901,GUAYAS,9
SAN MATEO,SAN MATEO 1,MANTA,ZONA 4,MANTA,1308,MANABÍ,13
PUJILÍ,PUJILÍ 1,DANSANTE,ZONA 3,PUJILÍ,504,COTOPAXI,5
SANGAY CENTRO,SANGAY CENTRO 1,SANGAY,ZONA 6,PALORA,1404,MORONA SANTIAGO,14
SANTA ROSA,SANTA ROSA 2,LIBERTAD SALINAS,ZONA 5,SALINAS,2403,SANTA ELENA,24
CUMBAYÁ SUR,CUMBAYÁ SUR 3,TUMBACO,ZONA 9,QUITO,1701,PICHINCHA,17
EL CALZADO,EL CALZADO 2,ELOY ALFARO - DMQ,ZONA 9,QUITO,1701,PICHINCHA,17
LA LIBERTAD,LA LIBERTAD 3,MANUELA SÁENZ,ZONA 9,QUITO,1701,PICHINCHA,17
QUINCHE,QUINCHE 2,TUMBACO,ZONA 9,QUITO,1701,PICHINCHA,17
AROSEMENA TOLA,AROSEMENA TOLA 1,TENA,ZONA 2,CARLOS JULIO AROSEMENA TOLA,1509,NAPO,15
PUERTO LIMÓN,PUERTO LIMÓN 1,SANTO DOMINGO OESTE,ZONA 4,SANTO DOMINGO,2301,STO DGO DE LOS TSÁCHILAS,23
ITCHIMBIA,ITCHIMBIA 1,MANUELA SÁENZ,ZONA 9,QUITO,1701,PICHINCHA,17
LIBERTAD CENTRO,LIBERTAD CENTRO 2,LIBERTAD SALINAS,ZONA 5,LA LIBERTAD,2402,SANTA ELENA,24
TRONCAL CENTRO,TRONCAL CENTRO 2,LA TRONCAL,ZONA 6,LA TRONCAL,304,CAÑAR,3
LOS MOLINOS,LOS MOLINOS 1,LOJA,ZONA 7,LOJA,1101,LOJA,11
ARCAPAMBA,ARCAPAMBA 1,ZARUMA,ZONA 7,ZARUMA,713,EL ORO,7
LA CHACRA,LA CHACRA 1,ZAMORA,ZONA 7,ZAMORA,1901,ZAMORA CHINCHIPE,19
INGAPIRCA,INGAPIRCA 1,CAÑAR,ZONA 6,CAÑAR,303,CAÑAR,3
SANTA VAINAS,SANTA VAINAS 1,ESMERALDAS,ZONA 1,ESMERALDAS,801,ESMERALDAS,8
CENTRO,CENTRO 2,MANTA,ZONA 4,MANTA,1308,MANABÍ,13
SAN PEDRO DE SUMA,SAN PEDRO DE SUMA 1,EL CARMEN,ZONA 4,EL CARMEN,1304,MANABÍ,13
