sexo,rango_edad,etnia,nacionalidad
HOMBRE,ADOLESCENTES,MESTIZO/A,ESTADOS UNIDOS
MUJER,ADULTO,MULATO/A,PERU
HOMBRE,ADULTO,MESTIZO/A,INDIA
HOMBRE,ADULTO MAYOR,OTROS,PERU
HOMBRE,ADULTO,OTROS,ITALIA
HOMBRE,NIÑOS(AS),MESTIZO/A,ESTADOS UNIDOS
MUJER,ADULTO,BLANCO/A,BRASIL
MUJER,ADOLESCENTES,INDIGENA,COLOMBIA
HOMBRE,ADULTO,MONTUBIO/A,COLOMBIA
HOMBRE,ADULTO,INDIGENA,COLOMBIA
HOMBRE,ADULTO,MESTIZO/A,CHILE
MUJER,ADULTO,OTROS,ALEMANIA
MUJER,ADULTO,AFRO,SIN_DATO
HOMBRE,ADULTO MAYOR,BLANCO/A,ESTADOS UNIDOS
MUJER,SIN_DATO,MESTIZO/A,ECUADOR
HOMBRE,ADULTO,OTROS,GUATEMALA
HOMBRE,NIÑOS(AS),INDIGENA,COLOMBIA
MUJER,ADULTO,OTROS,CUBA
MUJER,ADULTO,MESTIZO/A,CUBA
HOMBRE,ADOLESCENTES,BLANCO/A,SIN_DATO
HOMBRE,SIN_DATO,OTROS,ECUADOR
MUJER,NIÑOS(AS),MULATO/A,ESPAÑA
MUJER,NIÑOS(AS),MULATO/A,VENEZUELA
HOMBRE,SIN_DATO,MESTIZO/A,COLOMBIA
MUJER,ADULTO,BLANCO/A,FRANCIA
HOMBRE,ADULTO MAYOR,OTROS,AFGANISTAN
HOMBRE,ADULTO,OTROS,ARGENTINA
MUJER,SIN_DATO,MESTIZO/A,COLOMBIA
HOMBRE,ADULTO,BLANCO/A,TERRITORIO BRITANICO
MUJER,ADOLESCENTES,OTROS,ESPAÑA
HOMBRE,ADULTO,BLANCO/A,OTROS
HOMBRE,ADULTO,MULATO/A,PERU
MUJER,ADOLESCENTES,AFRO,DOMINICA
HOMBRE,ADULTO MAYOR,OTROS,SIN_DATO
HOMBRE,ADULTO,MESTIZO/A,ITALIA
MUJER,ADULTO,MULATO/A,SIN_DATO
